2,count
VELOZO,167
PAILLALEF,167
LAVIN,166
CANQUIL,166
CAÑUPAN,165
ABARZUA,165
HUENCHUN,165
IRARRAZABAL,164
GORDILLO,164
GUTIERRES,164
HUENTEO,164
LOGAN,163
CURIQUEO,163
ACHURRA,163
RUPALLAN,163
INAY,162
MUNITA,162
CORREDOR,161
FABIO,161
AGUERO,161
ILLESCA,161
OCORO,161
HUENUQUEO,160
MARILAF,160
NIETO,160
MANQUEAN,160
POLO,159
PAINEN,159
BOLARIN,158
MONTEZA,158
AMPUERO,158
GURRERO,156
BRACHO,156
HERESMAN,156
TARIFEÑO,156
CERNA,156
VIAL,155
PASTRIAN,155
WILSON,155
SOLAR,154
CANIVILO,154
VICENT,154
RIO,153
SARMIENTO,153
CURIHUINCA,153
COLIL,153
PAILLAO,152
CAMACARO,152
LONCON,152
NAHUELPAN,152
RAPIMAN,152
GANA,151
ESPINDOLA,151
ALCANTARA,151
QUILAQUEO,151
OCAYO,150
BARRUETO,150
VAQUERIZA,150
MATOS,150
GRAZO,150
ALBARRAN,150
GALIANO,149
CANIO,149
POVEDA,149
VELARDE,149
COLI,148
ZALAZAR,148
LUGO,148
SELLAO,148
LEPE,148
GIRON,147
GUEDEZ,147
MONTALBA,146
SIMON,146
BOLIVAR,146
CAYUL,146
MACIAS,145
IMILMAQUI,145
MILLANAO,145
TRANAMIL,145
PALOMERA,145
ROTHMUND,145
DONOSOS,145
AMESTOY,144
HUENUMILLA,144
VINETT,144
CADIN,143
UPEGUI,143
TRIPAYAN,143
SEVERINO,143
EGAÑA,143
CRUZADO,142
TRIVAÑO,142
INOJOSA,142
QUINCHAGUAL,142
ALCAIDE,142
CHEUQUEÑANCO,142
ALIANTE,142
RENTERIA,141
GANZUR,141
ITURRIETA,141
ARTEMONTT,141
LOAIZA,141
COLIPE,140
APONTE,140
CONEJERO,140
HUENTELAO,140
SALVATIERRA,140
UGALDE,140
LLANCAFIL,140
MILLALEN,139
COLLUPIL,139
RAUQUE,138
COUCH,138
GONZÁLEZ,138
RIVADERA,138
NON,137
CONTARDO,137
VINES,137
OYARTE,137
HUANCA,136
ESTERCH,136
CAYUÑIR,136
ROJO,136
ROMANQUE,136
NECULMAN,136
AÑASCO,136
BRISO,135
ROSAL,135
ANIÑIR,135
CAÑETE,134
APUD,134
HUAMANI,134
CHANGANA,134
CALHUAN,134
KROLL,133
FRITZ,133
